,id,name,price
0,42517,\u2605 Bowie Knife | Stained (Field-Tested),539
1,42461,\u2605 Bowie Knife,611.9
2,42495,\u2605 Bowie Knife | Marble Fade (Factory New),1280
3,42478,\u2605 Bowie Knife | Crimson Web (Field-Tested),899
4,42503,\u2605 Bowie Knife | Safari Mesh (Battle-Scarred),430
5,42474,\u2605 Bowie Knife | Case Hardened (Field-Tested),810
6,42479,\u2605 Bowie Knife | Crimson Web (Minimal Wear),1479
7,43363,\u2605 StatTrak\u2122 Bowie Knife | Rust Coat (Battle-Scarred),530
8,42523,\u2605 Bowie Knife | Ultraviolet (Field-Tested),535
9,42501,\u2605 Bowie Knife | Rust Coat (Battle-Scarred),450
10,42488,\u2605 Bowie Knife | Fade (Factory New),1619.5
11,42527,\u2605 Bowie Knife | Urban Masked (Field-Tested),445.7
12,42483,\u2605 Bowie Knife | Damascus Steel (Field-Tested),591
13,42522,\u2605 Bowie Knife | Ultraviolet (Battle-Scarred),465
14,42529,\u2605 Bowie Knife | Urban Masked (Well-Worn),439
15,42520,\u2605 Bowie Knife | Tiger Tooth (Factory New),1045
16,42498,\u2605 Bowie Knife | Night (Field-Tested),565
17,42509,\u2605 Bowie Knife | Scorched (Field-Tested),429.88
18,42492,\u2605 Bowie Knife | Forest DDPAT (Field-Tested),454
19,42462,\u2605 Bowie Knife | Blue Steel (Battle-Scarred),566
20,42518,\u2605 Bowie Knife | Stained (Minimal Wear),609.5
21,42484,\u2605 Bowie Knife | Damascus Steel (Minimal Wear),658.9
22,42476,\u2605 Bowie Knife | Case Hardened (Well-Worn),739.5
23,43379,\u2605 StatTrak\u2122 Bowie Knife | Tiger Tooth (Factory New),1296.5
24,42496,\u2605 Bowie Knife | Marble Fade (Minimal Wear),1319.5
25,42504,\u2605 Bowie Knife | Safari Mesh (Field-Tested),419
26,43367,\u2605 StatTrak\u2122 Bowie Knife | Safari Mesh (Well-Worn),547.77
27,42486,\u2605 Bowie Knife | Doppler (Factory New),1200
28,42470,\u2605 Bowie Knife | Boreal Forest (Minimal Wear),557.7
29,42482,\u2605 Bowie Knife | Damascus Steel (Factory New),719
30,42514,\u2605 Bowie Knife | Slaughter (Minimal Wear),1048.5
31,43334,\u2605 StatTrak\u2122 Bowie Knife,799
32,42475,\u2605 Bowie Knife | Case Hardened (Minimal Wear),968.5
33,42526,\u2605 Bowie Knife | Urban Masked (Battle-Scarred),452
34,42524,\u2605 Bowie Knife | Ultraviolet (Minimal Wear),705
35,42477,\u2605 Bowie Knife | Crimson Web (Battle-Scarred),713
36,42516,\u2605 Bowie Knife | Stained (Factory New),780
37,42493,\u2605 Bowie Knife | Forest DDPAT (Minimal Wear),518
38,42512,\u2605 Bowie Knife | Slaughter (Factory New),1200
39,42507,\u2605 Bowie Knife | Scorched (Battle-Scarred),433
40,42494,\u2605 Bowie Knife | Forest DDPAT (Well-Worn),486
41,43357,\u2605 StatTrak\u2122 Bowie Knife | Marble Fade (Factory New),1637
42,42473,\u2605 Bowie Knife | Case Hardened (Factory New),1540
43,42467,\u2605 Bowie Knife | Boreal Forest (Battle-Scarred),485
44,44008,\u2605 StatTrak\u2122 Bowie Knife | Ultraviolet (Battle-Scarred),588
45,42464,\u2605 Bowie Knife | Blue Steel (Field-Tested),570
46,43338,\u2605 StatTrak\u2122 Bowie Knife | Boreal Forest (Field-Tested),630
47,43348,\u2605 StatTrak\u2122 Bowie Knife | Damascus Steel (Field-Tested),720
48,42528,\u2605 Bowie Knife | Urban Masked (Minimal Wear),540
49,42525,\u2605 Bowie Knife | Ultraviolet (Well-Worn),535
50,43351,\u2605 StatTrak\u2122 Bowie Knife | Doppler (Factory New),1580
51,42521,\u2605 Bowie Knife | Tiger Tooth (Minimal Wear),1018.4
52,42502,\u2605 Bowie Knife | Rust Coat (Well-Worn),474.9
53,42465,\u2605 Bowie Knife | Blue Steel (Minimal Wear),670
54,42485,\u2605 Bowie Knife | Damascus Steel (Well-Worn),600
55,42469,\u2605 Bowie Knife | Boreal Forest (Field-Tested),466.66
56,42487,\u2605 Bowie Knife | Doppler (Minimal Wear),2273.3
57,43349,\u2605 StatTrak\u2122 Bowie Knife | Damascus Steel (Minimal Wear),750
58,42480,\u2605 Bowie Knife | Crimson Web (Well-Worn),919.5
59,42500,\u2605 Bowie Knife | Night (Well-Worn),539.5
60,42515,\u2605 Bowie Knife | Stained (Battle-Scarred),510
61,42497,\u2605 Bowie Knife | Night (Battle-Scarred),528
62,42490,\u2605 Bowie Knife | Forest DDPAT (Battle-Scarred),440
63,42513,\u2605 Bowie Knife | Slaughter (Field-Tested),1000
64,43386,\u2605 StatTrak\u2122 Bowie Knife | Urban Masked (Field-Tested),499.9
65,43347,\u2605 StatTrak\u2122 Bowie Knife | Damascus Steel (Factory New),947.5
66,42505,\u2605 Bowie Knife | Safari Mesh (Minimal Wear),459
67,43377,\u2605 StatTrak\u2122 Bowie Knife | Stained (Field-Tested),679
68,42466,\u2605 Bowie Knife | Blue Steel (Well-Worn),579.9
69,42472,\u2605 Bowie Knife | Case Hardened (Battle-Scarred),768.3
70,43356,\u2605 StatTrak\u2122 Bowie Knife | Forest DDPAT (Minimal Wear),700
71,43340,\u2605 StatTrak\u2122 Bowie Knife | Case Hardened (Field-Tested),1166
72,43372,\u2605 StatTrak\u2122 Bowie Knife | Slaughter (Factory New),1739
73,42499,\u2605 Bowie Knife | Night (Minimal Wear),731
